"STATION","NAME","DATE","AWND","MNPN","MXPN","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-01","5.59",,,"0.00",,"49","11",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-02","4.92",,,"0.01",,"73","25",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-03","8.95",,,"0.01",,,,,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-04","11.18",,,"0.97",,"71","45",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-05","12.97",,,"0.28",,"50","22",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-06","3.36",,,"0.00",,"36","10",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-07","7.16",,,"0.00",,"46","19",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-08","7.38",,,"0.00",,"38","22",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-09","5.82",,,"0.00",,"52","33",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-10","8.05",,,"0.86",,"57","34",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-11","14.32",,,"0.00",,"56","40",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-12","16.11",,,"0.00",,"43","26",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-13","6.93",,,"0.23",,"30","13",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-14","13.65",,,"0.00",,"14","5",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-15","6.26",,,"0.00",,"17","-5",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-16","10.74",,,"0.03",,"41","-3",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-17","15.43",,,"0.00",,"17","0",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-18","5.14",,,"0.00",,"21","0",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-19","3.80",,,"0.00",,"21","-1",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-20","4.70",,,"0.06",,"21","-4",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-21","17.00",,,"0.00",,"19","3",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-22","13.87",,,"0.00",,,,,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-23","1.12",,,"0.00",,,,,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-24","2.24",,,"0.00",,"33","9",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-25","10.51",,,"0.73",,"35","9",,,,,,,,,,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2000-01-26","1.79",,,"0.02",,"31","20",,,,,,,,,,,,,,,,,,,,
