"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2000-01-01","11.41","0.00","0.0","50","27"
"USW00014739","BOSTON, MA US","2000-01-02","8.95","0.03","0.0","54","34"
"USW00014739","BOSTON, MA US","2000-01-03","12.97","0.03","0.0","64","43"
"USW00014739","BOSTON, MA US","2000-01-04","14.32","0.76","0.0","63","40"
"USW00014739","BOSTON, MA US","2000-01-05","16.11","0.23","0.0","49","22"
"USW00014739","BOSTON, MA US","2000-01-06","6.93","0.00","0.0","36","18"
"USW00014739","BOSTON, MA US","2000-01-07","13.20","0.00","0.0","45","31"
"USW00014739","BOSTON, MA US","2000-01-08","11.41","0.00","0.0","38","30"
"USW00014739","BOSTON, MA US","2000-01-09","10.96","0.00","0.0","51","34"
"USW00014739","BOSTON, MA US","2000-01-10","14.54","0.74","0.0","56","39"
"USW00014739","BOSTON, MA US","2000-01-11","20.80","0.00","0.0","55","41"
"USW00014739","BOSTON, MA US","2000-01-12","18.12","0.00","0.0","43","32"
"USW00014739","BOSTON, MA US","2000-01-13","13.20","0.10","5.6","32","13"
"USW00014739","BOSTON, MA US","2000-01-14","19.69","0.00","0.0","16","7"
"USW00014739","BOSTON, MA US","2000-01-15","11.41","0.00","0.0","18","1"
"USW00014739","BOSTON, MA US","2000-01-16","18.34","0.00","0.5","41","14"
"USW00014739","BOSTON, MA US","2000-01-17","24.16","0.00","0.0","17","0"
"USW00014739","BOSTON, MA US","2000-01-18","12.30","0.00","0.0","22","3"
"USW00014739","BOSTON, MA US","2000-01-19","9.62","0.00","0.0","21","7"
"USW00014739","BOSTON, MA US","2000-01-20","11.63","0.00","3.2","22","13"
"USW00014739","BOSTON, MA US","2000-01-21","23.49","0.02","0.4","19","4"
"USW00014739","BOSTON, MA US","2000-01-22","21.70","0.00","0.0","14","2"
"USW00014739","BOSTON, MA US","2000-01-23","6.49","0.00","0.0","22","7"
"USW00014739","BOSTON, MA US","2000-01-24","5.59","0.00","0.0","32","20"
"USW00014739","BOSTON, MA US","2000-01-25","19.01","0.49","3.5","35","24"
"USW00014739","BOSTON, MA US","2000-01-26","12.75","0.01","0.0","32","21"
"USW00014739","BOSTON, MA US","2000-01-27","16.33","0.00","0.0","22","7"
"USW00014739","BOSTON, MA US","2000-01-28","16.33","0.00","0.0","19","5"
"USW00014739","BOSTON, MA US","2000-01-29","9.84","0.00","0.0","33","12"
"USW00014739","BOSTON, MA US","2000-01-30","5.59","0.00","0.0","47","18"
"USW00014739","BOSTON, MA US","2000-01-31","14.54","0.21","0.5","38","30"
"USW00014739","BOSTON, MA US","2000-02-01","14.99","0.00","0.0","35","26"
"USW00014739","BOSTON, MA US","2000-02-02","17.45","0.00","0.0","29","18"
"USW00014739","BOSTON, MA US","2000-02-03","10.74","0.00","0.1","30","15"
"USW00014739","BOSTON, MA US","2000-02-04","6.93","0.01","0.1","28","22"
"USW00014739","BOSTON, MA US","2000-02-05","12.30","0.01","0.3","35","25"
"USW00014739","BOSTON, MA US","2000-02-06","16.11","0.00","0.0","33","24"
"USW00014739","BOSTON, MA US","2000-02-07","17.22","0.00","0.0","42","20"
"USW00014739","BOSTON, MA US","2000-02-08","11.18","0.00","0.0","28","13"
"USW00014739","BOSTON, MA US","2000-02-09","19.01","0.00","0.0","45","21"
"USW00014739","BOSTON, MA US","2000-02-10","10.74","0.00","0.0","44","31"
"USW00014739","BOSTON, MA US","2000-02-11","8.95","0.05","0.0","44","28"
"USW00014739","BOSTON, MA US","2000-02-12","10.29","0.00","0.0","32","21"
"USW00014739","BOSTON, MA US","2000-02-13","6.93","0.00","0.0","36","19"
"USW00014739","BOSTON, MA US","2000-02-14","12.30","0.98","0.0","57","32"
"USW00014739","BOSTON, MA US","2000-02-15","12.53","0.00","0.0","44","32"
"USW00014739","BOSTON, MA US","2000-02-16","12.53","0.01","0.2","49","28"
"USW00014739","BOSTON, MA US","2000-02-17","14.09","0.00","0.0","37","20"
"USW00014739","BOSTON, MA US","2000-02-18","10.96","0.57","6.5","33","20"
"USW00014739","BOSTON, MA US","2000-02-19","12.53","0.10","1.5","33","24"
"USW00014739","BOSTON, MA US","2000-02-20","10.29","0.01","0.5","37","29"
"USW00014739","BOSTON, MA US","2000-02-21","9.84","0.00","0.0","40","28"
"USW00014739","BOSTON, MA US","2000-02-22","7.83","0.00","0.0","44","24"
"USW00014739","BOSTON, MA US","2000-02-23","12.75","0.00","0.0","52","32"
"USW00014739","BOSTON, MA US","2000-02-24","5.82","0.05","0.0","61","43"
"USW00014739","BOSTON, MA US","2000-02-25","14.99","0.49","0.0","47","36"
"USW00014739","BOSTON, MA US","2000-02-26","10.96","0.03","0.0","41","36"
"USW00014739","BOSTON, MA US","2000-02-27","7.61","0.00","0.0","61","39"
"USW00014739","BOSTON, MA US","2000-02-28","15.43","0.24","0.0","55","39"
"USW00014739","BOSTON, MA US","2000-02-29","17.90","0.00","0.0","49","35"
"USW00014739","BOSTON, MA US","2000-03-01","8.50","0.00","0.0","45","38"
"USW00014739","BOSTON, MA US","2000-03-02","14.76","0.01","0.0","49","38"
"USW00014739","BOSTON, MA US","2000-03-03","19.01","0.00","0.0","47","34"
"USW00014739","BOSTON, MA US","2000-03-04","13.65","0.00","0.0","53","33"
"USW00014739","BOSTON, MA US","2000-03-05","12.30","0.00","0.0","51","39"
"USW00014739","BOSTON, MA US","2000-03-06","14.09","0.00","0.0","49","35"
"USW00014739","BOSTON, MA US","2000-03-07","8.95","0.00","0.0","62","33"
"USW00014739","BOSTON, MA US","2000-03-08","10.29","0.00","0.0","48","40"
"USW00014739","BOSTON, MA US","2000-03-09","12.30","0.01","0.0","72","41"
"USW00014739","BOSTON, MA US","2000-03-10","14.32","0.00","0.0","57","36"
"USW00014739","BOSTON, MA US","2000-03-11","14.54","0.88","0.0","40","36"
"USW00014739","BOSTON, MA US","2000-03-12","11.86","0.55","0.0","41","34"
"USW00014739","BOSTON, MA US","2000-03-13","13.20","0.00","0.0","41","31"
"USW00014739","BOSTON, MA US","2000-03-14","11.18","0.00","0.0","53","28"
"USW00014739","BOSTON, MA US","2000-03-15","12.75","0.00","0.0","61","35"
"USW00014739","BOSTON, MA US","2000-03-16","15.43","0.20","0.0","71","40"
"USW00014739","BOSTON, MA US","2000-03-17","20.80","0.77","2.0","40","22"
"USW00014739","BOSTON, MA US","2000-03-18","11.41","0.00","0.0","32","16"
"USW00014739","BOSTON, MA US","2000-03-19","11.41","0.00","0.0","37","25"
"USW00014739","BOSTON, MA US","2000-03-20","13.20","0.00","0.0","40","32"
"USW00014739","BOSTON, MA US","2000-03-21","14.32","0.00","0.0","40","35"
"USW00014739","BOSTON, MA US","2000-03-22","11.41","0.00","0.0","44","36"
"USW00014739","BOSTON, MA US","2000-03-23","5.14","0.00","0.0","52","32"
"USW00014739","BOSTON, MA US","2000-03-24","10.29","0.00","0.0","52","43"
"USW00014739","BOSTON, MA US","2000-03-25","8.95","0.00","0.0","64","35"
"USW00014739","BOSTON, MA US","2000-03-26","12.97","0.00","0.0","64","46"
"USW00014739","BOSTON, MA US","2000-03-27","10.74","0.00","0.0","59","40"
"USW00014739","BOSTON, MA US","2000-03-28","18.79","1.00","0.0","57","45"
"USW00014739","BOSTON, MA US","2000-03-29","15.43","0.17","0.0","57","44"
"USW00014739","BOSTON, MA US","2000-03-30","13.20","0.00","0.0","51","42"
"USW00014739","BOSTON, MA US","2000-03-31","8.95","0.00","0.0","54","38"
"USW00014739","BOSTON, MA US","2000-04-01","9.40","0.00","0.0","61","39"
"USW00014739","BOSTON, MA US","2000-04-02","13.42","0.00","0.0","68","46"
"USW00014739","BOSTON, MA US","2000-04-03","6.93","0.00","0.0","56","45"
"USW00014739","BOSTON, MA US","2000-04-04","13.42","0.26","0.0","66","43"
"USW00014739","BOSTON, MA US","2000-04-05","20.58","0.00","0.0","53","39"
"USW00014739","BOSTON, MA US","2000-04-06","10.96","0.02","0.0","58","37"
"USW00014739","BOSTON, MA US","2000-04-07","11.18","0.00","0.0","62","45"
"USW00014739","BOSTON, MA US","2000-04-08","18.79","0.14","0.0","75","45"
"USW00014739","BOSTON, MA US","2000-04-09","25.50","0.51","0.0","61","34"
"USW00014739","BOSTON, MA US","2000-04-10","19.46","0.00","0.0","51","37"
"USW00014739","BOSTON, MA US","2000-04-11","9.17","0.07","0.0","46","35"
"USW00014739","BOSTON, MA US","2000-04-12","13.20","0.01","0.0","49","36"
"USW00014739","BOSTON, MA US","2000-04-13","10.29","0.00","0.0","50","34"
"USW00014739","BOSTON, MA US","2000-04-14","15.43","0.00","0.0","56","35"
"USW00014739","BOSTON, MA US","2000-04-15","15.43","0.00","0.0","70","44"
"USW00014739","BOSTON, MA US","2000-04-16","5.37","0.12","0.0","65","47"
"USW00014739","BOSTON, MA US","2000-04-17","14.09","0.00","0.0","48","39"
"USW00014739","BOSTON, MA US","2000-04-18","17.90","0.45","0.0","45","40"
"USW00014739","BOSTON, MA US","2000-04-19","17.00","0.25","0.0","43","41"
"USW00014739","BOSTON, MA US","2000-04-20","7.16","0.01","0.0","54","41"
"USW00014739","BOSTON, MA US","2000-04-21","13.65","1.02","0.0","47","42"
"USW00014739","BOSTON, MA US","2000-04-22","19.24","1.50","0.0","46","42"
"USW00014739","BOSTON, MA US","2000-04-23","11.41","0.24","0.0","48","42"
"USW00014739","BOSTON, MA US","2000-04-24","14.99","0.00","0.0","52","42"
"USW00014739","BOSTON, MA US","2000-04-25","17.00","0.00","0.0","47","38"
"USW00014739","BOSTON, MA US","2000-04-26","17.00","0.41","0.0","41","35"
"USW00014739","BOSTON, MA US","2000-04-27","7.16","0.01","0.0","50","37"
"USW00014739","BOSTON, MA US","2000-04-28","8.05","0.00","0.0","53","41"
"USW00014739","BOSTON, MA US","2000-04-29","5.59","0.00","0.0","51","39"
"USW00014739","BOSTON, MA US","2000-04-30","12.75","0.00","0.0","60","47"
"USW00014739","BOSTON, MA US","2000-05-01","11.18","0.00","0.0","65","42"
"USW00014739","BOSTON, MA US","2000-05-02","9.84","0.17","0.0","65","46"
"USW00014739","BOSTON, MA US","2000-05-03","10.96","0.00","0.0","59","43"
"USW00014739","BOSTON, MA US","2000-05-04","14.54","0.00","0.0","69","44"
"USW00014739","BOSTON, MA US","2000-05-05","10.74","0.00","0.0","81","55"
"USW00014739","BOSTON, MA US","2000-05-06","9.62","0.01","0.0","69","50"
"USW00014739","BOSTON, MA US","2000-05-07","10.74","0.00","0.0","91","50"
"USW00014739","BOSTON, MA US","2000-05-08","10.29","0.05","0.0","86","56"
"USW00014739","BOSTON, MA US","2000-05-09","10.96","0.00","0.0","65","47"
"USW00014739","BOSTON, MA US","2000-05-10","16.33","0.61","0.0","50","46"
"USW00014739","BOSTON, MA US","2000-05-11","10.29","0.02","0.0","66","44"
"USW00014739","BOSTON, MA US","2000-05-12","9.40","0.00","0.0","67","50"
"USW00014739","BOSTON, MA US","2000-05-13","10.07","0.26","0.0","59","49"
"USW00014739","BOSTON, MA US","2000-05-14","9.17","0.09","0.0","70","50"
"USW00014739","BOSTON, MA US","2000-05-15","12.53","0.00","0.0","63","49"
"USW00014739","BOSTON, MA US","2000-05-16","10.29","0.00","0.0","67","47"
"USW00014739","BOSTON, MA US","2000-05-17","11.63","0.00","0.0","65","53"
"USW00014739","BOSTON, MA US","2000-05-18","19.46","0.14","0.0","71","54"
"USW00014739","BOSTON, MA US","2000-05-19","12.75","0.37","0.0","63","43"
"USW00014739","BOSTON, MA US","2000-05-20","8.28","0.00","0.0","54","44"
"USW00014739","BOSTON, MA US","2000-05-21","8.72","0.01","0.0","53","49"
"USW00014739","BOSTON, MA US","2000-05-22","8.95","0.06","0.0","56","47"
"USW00014739","BOSTON, MA US","2000-05-23","10.29","0.31","0.0","57","47"
"USW00014739","BOSTON, MA US","2000-05-24","8.95","0.71","0.0","66","50"
"USW00014739","BOSTON, MA US","2000-05-25","13.20","0.07","0.0","72","49"
"USW00014739","BOSTON, MA US","2000-05-26","15.43","0.00","0.0","72","55"
"USW00014739","BOSTON, MA US","2000-05-27","11.63","0.00","0.0","74","55"
"USW00014739","BOSTON, MA US","2000-05-28","7.61","0.00","0.0","61","52"
"USW00014739","BOSTON, MA US","2000-05-29","12.30","0.00","0.0","57","47"
"USW00014739","BOSTON, MA US","2000-05-30","9.62","0.00","0.0","58","46"
"USW00014739","BOSTON, MA US","2000-05-31","9.40","0.00","0.0","72","45"
"USW00014739","BOSTON, MA US","2000-06-01","8.72","0.00","0.0","82","57"
"USW00014739","BOSTON, MA US","2000-06-02","8.95","0.52","0.0","88","66"
"USW00014739","BOSTON, MA US","2000-06-03","12.30","0.00","0.0","71","57"
"USW00014739","BOSTON, MA US","2000-06-04","9.40","0.00","0.0","70","53"
"USW00014739","BOSTON, MA US","2000-06-05","13.20","0.00","0.0","61","54"
"USW00014739","BOSTON, MA US","2000-06-06","21.25","4.00","0.0","56","47"
"USW00014739","BOSTON, MA US","2000-06-07","13.42","0.24","0.0","69","46"
"USW00014739","BOSTON, MA US","2000-06-08","9.40","0.00","0.0","75","51"
"USW00014739","BOSTON, MA US","2000-06-09","10.74","0.00","0.0","80","63"
"USW00014739","BOSTON, MA US","2000-06-10","8.50","0.00","0.0","90","56"
"USW00014739","BOSTON, MA US","2000-06-11","12.30","0.49","0.0","61","51"
"USW00014739","BOSTON, MA US","2000-06-12","11.41","0.20","0.0","54","51"
"USW00014739","BOSTON, MA US","2000-06-13","9.40","0.07","0.0","59","52"
"USW00014739","BOSTON, MA US","2000-06-14","8.72","0.05","0.0","61","53"
"USW00014739","BOSTON, MA US","2000-06-15","8.28","0.00","0.0","68","57"
"USW00014739","BOSTON, MA US","2000-06-16","12.08","0.00","0.0","88","63"
"USW00014739","BOSTON, MA US","2000-06-17","13.20","0.22","0.0","92","69"
"USW00014739","BOSTON, MA US","2000-06-18","8.05","0.26","0.0","74","59"
"USW00014739","BOSTON, MA US","2000-06-19","6.71","0.00","0.0","69","59"
"USW00014739","BOSTON, MA US","2000-06-20","9.40","0.00","0.0","79","60"
"USW00014739","BOSTON, MA US","2000-06-21","16.33","0.00","0.0","83","61"
"USW00014739","BOSTON, MA US","2000-06-22","12.97","0.03","0.0","85","69"
"USW00014739","BOSTON, MA US","2000-06-23","10.07","0.00","0.0","82","67"
"USW00014739","BOSTON, MA US","2000-06-24","7.38","0.00","0.0","73","63"
"USW00014739","BOSTON, MA US","2000-06-25","16.11","0.00","0.0","86","64"
"USW00014739","BOSTON, MA US","2000-06-26","8.28","0.04","0.0","82","68"
"USW00014739","BOSTON, MA US","2000-06-27","12.08","0.39","0.0","91","67"
"USW00014739","BOSTON, MA US","2000-06-28","8.72","0.00","0.0","82","67"
"USW00014739","BOSTON, MA US","2000-06-29","6.04","0.10","0.0","73","63"
"USW00014739","BOSTON, MA US","2000-06-30","9.40","0.00","0.0","79","63"
"USW00014739","BOSTON, MA US","2000-07-01","9.17","0.00","0.0","77","63"
"USW00014739","BOSTON, MA US","2000-07-02","8.72","0.00","0.0","84","63"
"USW00014739","BOSTON, MA US","2000-07-03","11.18","0.00","0.0","87","68"
"USW00014739","BOSTON, MA US","2000-07-04","8.95","0.00","0.0","83","68"
"USW00014739","BOSTON, MA US","2000-07-05","12.75","0.00","0.0","84","64"
"USW00014739","BOSTON, MA US","2000-07-06","6.93","0.00","0.0","79","59"
"USW00014739","BOSTON, MA US","2000-07-07","8.95","0.12","0.0","73","58"
"USW00014739","BOSTON, MA US","2000-07-08","11.41","0.00","0.0","79","55"
"USW00014739","BOSTON, MA US","2000-07-09","10.07","0.47","0.0","81","64"
"USW00014739","BOSTON, MA US","2000-07-10","14.99","0.00","0.0","86","68"
"USW00014739","BOSTON, MA US","2000-07-11","12.30","0.00","0.0","82","64"
"USW00014739","BOSTON, MA US","2000-07-12","9.40","0.00","0.0","85","62"
"USW00014739","BOSTON, MA US","2000-07-13","9.62","0.00","0.0","83","67"
"USW00014739","BOSTON, MA US","2000-07-14","12.08","0.00","0.0","83","66"
"USW00014739","BOSTON, MA US","2000-07-15","14.99","0.56","0.0","76","65"
"USW00014739","BOSTON, MA US","2000-07-16","12.53","0.97","0.0","72","63"
"USW00014739","BOSTON, MA US","2000-07-17","8.72","0.00","0.0","68","59"
"USW00014739","BOSTON, MA US","2000-07-18","12.08","0.60","0.0","83","65"
"USW00014739","BOSTON, MA US","2000-07-19","9.84","0.00","0.0","70","61"
"USW00014739","BOSTON, MA US","2000-07-20","8.95","0.00","0.0","68","58"
"USW00014739","BOSTON, MA US","2000-07-21","11.41","0.03","0.0","81","59"
"USW00014739","BOSTON, MA US","2000-07-22","9.62","0.14","0.0","81","64"
"USW00014739","BOSTON, MA US","2000-07-23","8.50","0.00","0.0","80","62"
"USW00014739","BOSTON, MA US","2000-07-24","6.26","0.00","0.0","75","63"
"USW00014739","BOSTON, MA US","2000-07-25","7.38","0.00","0.0","70","64"
"USW00014739","BOSTON, MA US","2000-07-26","13.65","0.40","0.0","65","61"
"USW00014739","BOSTON, MA US","2000-07-27","13.87","1.35","0.0","65","62"
"USW00014739","BOSTON, MA US","2000-07-28","7.61","0.01","0.0","70","62"
"USW00014739","BOSTON, MA US","2000-07-29","7.38","0.00","0.0","79","63"
"USW00014739","BOSTON, MA US","2000-07-30","8.72","0.04","0.0","74","65"
"USW00014739","BOSTON, MA US","2000-07-31","10.29","0.51","0.0","66","63"
"USW00014739","BOSTON, MA US","2000-08-01","10.29","0.06","0.0","66","63"
"USW00014739","BOSTON, MA US","2000-08-02","5.37","0.00","0.0","73","64"
"USW00014739","BOSTON, MA US","2000-08-03","12.08","0.07","0.0","82","69"
"USW00014739","BOSTON, MA US","2000-08-04","7.83","0.00","0.0","81","67"
"USW00014739","BOSTON, MA US","2000-08-05","6.71","0.00","0.0","78","65"
"USW00014739","BOSTON, MA US","2000-08-06","9.62","0.01","0.0","81","64"
"USW00014739","BOSTON, MA US","2000-08-07","13.20","0.01","0.0","89","68"
"USW00014739","BOSTON, MA US","2000-08-08","10.29","0.00","0.0","87","75"
"USW00014739","BOSTON, MA US","2000-08-09","12.30","0.00","0.0","88","71"
"USW00014739","BOSTON, MA US","2000-08-10","8.50","0.08","0.0","85","70"
"USW00014739","BOSTON, MA US","2000-08-11","10.29","0.00","0.0","76","67"
"USW00014739","BOSTON, MA US","2000-08-12","14.09","0.00","0.0","72","64"
"USW00014739","BOSTON, MA US","2000-08-13","13.20","0.11","0.0","71","61"
"USW00014739","BOSTON, MA US","2000-08-14","14.76","0.41","0.0","66","62"
"USW00014739","BOSTON, MA US","2000-08-15","8.28","0.01","0.0","71","63"
"USW00014739","BOSTON, MA US","2000-08-16","9.84","0.91","0.0","80","65"
