,horizon,mse,rmse,mae,mape,mdape,coverage
0,8 days 08:00:00.000000000,1387407.0073651474,1177.8824251024155,920.0739528084747,0.06705846550781305,0.057181351784363114,0.8253523865072421
1,8 days 09:00:00.000000000,1382220.9451206352,1175.6789294363641,919.5746710729389,0.06711563953051676,0.057555035312781236,0.8256051326917464
2,8 days 10:00:00.000000000,1380716.8253629268,1175.0390739728305,919.6332812364456,0.06718690118761793,0.057680049473081516,0.8254593175853013
3,8 days 11:00:00.000000000,1379520.059887178,1174.5297186053565,919.8170580979817,0.067243236869417,0.05787126645107771,0.8253135024788566
4,8 days 12:00:00.000000000,1380892.390091862,1175.113777509166,920.8980950138123,0.0672862060025715,0.05810626095548985,0.8249052201808108
5,8 days 13:00:00.000000000,1380251.8763739842,1174.841213259896,920.6417644302815,0.06722323294425912,0.05805701060919726,0.8251279196161084
6,8 days 14:00:00.000000000,1380632.9069845113,1175.0033646694426,920.7619890544153,0.0671767167963042,0.05786180596549668,0.8250218722659661
7,8 days 15:00:00.000000000,1383486.6560424182,1176.217095625811,921.6923275290919,0.06716367545665163,0.057680049473081516,0.8244774958685723
8,8 days 16:00:00.000000000,1387922.6373437056,1178.1012848408686,923.0233813866151,0.06719340259263387,0.057680049473081516,0.8241631833057906
9,8 days 17:00:00.000000000,1393078.1299495539,1180.2873082218389,924.3721646536612,0.06722995615378291,0.057663232167060575,0.8238067463789248
10,8 days 18:00:00.000000000,1397417.8069794897,1182.1242772989183,925.2614032782282,0.06720351497768452,0.057156741516573205,0.8235831632157093
11,8 days 19:00:00.000000000,1401842.880586458,1183.9944596941566,926.5336124281934,0.06725384528463976,0.05714766306700651,0.823272090988627
12,8 days 20:00:00.000000000,1404986.7280871314,1185.3213606812,927.3208809226537,0.06730099268902638,0.057061328093264516,0.823245579151091
13,8 days 21:00:00.000000000,1405177.724933265,1185.4019254806637,927.0179443091273,0.0672717210115972,0.05682780965918382,0.8236803732866723
14,8 days 22:00:00.000000000,1405030.415349067,1185.3397889841829,927.1250330844799,0.06727668259523842,0.057017849663205486,0.8238747934285987
15,8 days 23:00:00.000000000,1405164.1419922041,1185.3961962112937,927.8417596511194,0.06732067536751321,0.05714766306700651,0.823498914487541
16,9 days 00:00:00.000000000,1408170.4849926098,1186.6635938599488,929.489084804009,0.06739282487436411,0.05754730965098204,0.8219889180519101
17,9 days 01:00:00.000000000,1407265.9314510294,1186.2823995369017,929.527764988103,0.06739255248270311,0.057680049473081516,0.8216389617964434
18,9 days 02:00:00.000000000,1404008.0125341697,1184.9084405700594,928.5886197698177,0.06732728026114199,0.057680049473081516,0.8220525464619941
19,9 days 03:00:00.000000000,1400139.2023202141,1183.2747788743804,927.4799677222003,0.06725605269050526,0.05778467864568102,0.822474968406727
20,9 days 04:00:00.000000000,1395354.4868022366,1181.25123779924,925.9982593705661,0.06717256444922953,0.05778467864568102,0.8229804607757363
21,9 days 05:00:00.000000000,1391545.5490348525,1179.6378889451003,924.7006526123452,0.06712900382070609,0.05778467864568102,0.8230128641327246
22,9 days 06:00:00.000000000,1386820.6866155844,1177.6335111636322,923.5393781788368,0.06712052479760124,0.057831656672152856,0.8239525614853697
23,9 days 07:00:00.000000000,1381932.2856604292,1175.55616014737,922.0047409456427,0.06707418300866307,0.05805701060919726,0.8242053076698748
24,9 days 08:00:00.000000000,1377313.220851001,1173.5898861403846,920.4727689844871,0.0670469846551671,0.05778467864568102,0.8246330319821138
25,9 days 09:00:00.000000000,1375229.6892410067,1172.7018756875111,919.8944310686013,0.06713139117073712,0.05801776362040253,0.8242000053023671
26,9 days 10:00:00.000000000,1371030.72196053,1170.9102108874658,918.5107602665902,0.06711543390821523,0.05786180596549668,0.8244710151971741
27,9 days 11:00:00.000000000,1365872.3237519262,1168.7054050323914,917.4668837131676,0.06710083572934317,0.05786180596549668,0.8253135024788559
28,9 days 12:00:00.000000000,1366806.198852823,1169.1048707677269,918.6650355709539,0.06721913434606741,0.05812866884357844,0.8260911830465638
29,9 days 13:00:00.000000000,1365968.5389400462,1168.7465674559417,919.1258898267895,0.06727025665062483,0.05825690723845982,0.826480023330417
30,9 days 14:00:00.000000000,1365749.2397055216,1168.6527455602547,919.3660410144167,0.06728247769436223,0.05829718062635712,0.8264216972878383
31,9 days 15:00:00.000000000,1369128.6588882513,1170.0977133933095,921.0679506305025,0.06735580114657734,0.05832285678263804,0.8262016490362948
32,9 days 16:00:00.000000000,1374331.1892596947,1172.3187234108711,922.8511387172786,0.06743225331327736,0.05832285678263804,0.825512341260373
33,9 days 17:00:00.000000000,1381011.2067618333,1175.1643318114423,925.0415927600571,0.06753341678340671,0.05832285678263804,0.8247302420530767
34,9 days 18:00:00.000000000,1389902.2592885331,1178.941160231728,928.2463058544545,0.0676692371262794,0.05833041802088102,0.823563721201517
35,9 days 19:00:00.000000000,1398151.2815879977,1182.4344724288098,930.5164944581237,0.06775536040627467,0.05833041802088102,0.8223972003499561
36,9 days 20:00:00.000000000,1406547.5476674368,1185.9795730397032,932.7519670310899,0.06783354986324029,0.05833041802088102,0.8212501215125881
37,9 days 21:00:00.000000000,1413519.2888588267,1188.9151731132154,934.700572864526,0.06787995973068145,0.05832285678263804,0.8204724409448816
38,9 days 22:00:00.000000000,1419614.3238541512,1191.4756916757267,936.9179021817024,0.06796300235970272,0.05833041802088102,0.8201370662000589
39,9 days 23:00:00.000000000,1424754.241112747,1193.6306971223332,939.1453080212709,0.06806704787111485,0.0584432287349017,0.8194808982210554
40,10 days 00:00:00.000000000,1432692.1903817642,1196.9512063496006,942.2316166290308,0.06819479037181074,0.05876938952551629,0.8186643336249639
41,10 days 01:00:00.000000000,1435022.3666647207,1197.9241907001965,943.430774311709,0.06824748208259217,0.05885408036748314,0.8186708142963611
42,10 days 02:00:00.000000000,1436699.0868714838,1198.6238304286644,943.8190164965703,0.06824636939662113,0.05885408036748314,0.8186574717376008
43,10 days 03:00:00.000000000,1436498.267349722,1198.5400566312842,943.4369472923594,0.06820521656952172,0.05876938952551629,0.8191892680081655
44,10 days 04:00:00.000000000,1435289.638023393,1198.0357415467174,942.8289171422407,0.06816725501736953,0.05871049546709897,0.8194225721784779
45,10 days 05:00:00.000000000,1432215.1755830017,1196.7519273362386,941.8290602304982,0.06812382324514328,0.05871049546709897,0.8194278745459848
46,10 days 06:00:00.000000000,1428734.7647799344,1195.2969358196876,940.7172553947173,0.0681141151968634,0.05871049546709897,0.8191892680081658
47,10 days 07:00:00.000000000,1423713.0096456695,1193.1944559231197,939.2776078798366,0.06806098381178632,0.05848391879927339,0.8194225721784774
48,10 days 08:00:00.000000000,1419126.6194278146,1191.2710100677405,937.8953783076242,0.06802467659383714,0.05833248687672346,0.8201613687177992
49,10 days 09:00:00.000000000,1418547.655791766,1191.0279827912382,937.6539999393357,0.06812698164059007,0.05833041802088102,0.8205988140371343
50,10 days 10:00:00.000000000,1416229.944568595,1190.0545973057685,937.0411459732844,0.06816383668535876,0.05833041802088102,0.8212112374842041
51,10 days 11:00:00.000000000,1413953.0702526702,1189.0975865136847,936.3224081646063,0.06818230979841476,0.05833041802088102,0.8215639711702707
52,10 days 12:00:00.000000000,1416689.0892781066,1190.2474907674061,936.7939026142996,0.06825366634395694,0.05848391879927339,0.8218599867998955
53,10 days 13:00:00.000000000,1413659.1907671175,1188.9740076078692,936.2801173559171,0.06827051596229637,0.058752271712826355,0.8228554763987835
54,10 days 14:00:00.000000000,1412911.054687505,1188.6593518277239,935.7163744184776,0.06823570674213325,0.05885408036748314,0.8227574494364676
55,10 days 15:00:00.000000000,1415758.8172283038,1189.8566372585833,936.9180873983885,0.06830752348396965,0.059085812473619374,0.8213140024163649
56,10 days 16:00:00.000000000,1419708.9662458121,1191.5154074731104,938.4268489332717,0.06837281841381007,0.059186312686488614,0.8207307419905846
57,10 days 17:00:00.000000000,1427028.62120222,1194.5830323599193,940.695665459241,0.06844399142649632,0.059310524254220384,0.8197725284339458
58,10 days 18:00:00.000000000,1438652.6264702627,1199.4384629776814,944.573566016672,0.06858374793451157,0.059257581686852516,0.8168562263050455
59,10 days 19:00:00.000000000,1448214.0533035945,1203.41765538968,947.7314257357882,0.06870504322698218,0.059257581686852516,0.8151064450277048
60,10 days 20:00:00.000000000,1458402.5970605877,1207.6434064162268,951.065262004196,0.06883053374362452,0.05960240613548835,0.813734067555281
61,10 days 21:00:00.000000000,1480251.4361363736,1216.6558412864229,957.9605671116577,0.06906389387734112,0.059860048253036785,0.8121693121693125
62,10 days 22:00:00.000000000,1487031.8484595262,1219.4391532419836,960.5173332572457,0.06915642001523266,0.059912832671251116,0.8112944215306422
63,10 days 23:00:00.000000000,1490786.967540099,1220.97787348506,962.0700402231827,0.0691867433653993,0.05994542207935155,0.8110543199643907
64,11 days 00:00:00.000000000,1505736.1858475215,1227.084424906258,966.6091200976755,0.06938312605377502,0.06000162097210773,0.8095238095238094
65,11 days 01:00:00.000000000,1510725.8326936024,1229.1158743965527,968.5854350943789,0.06949399108235546,0.06000162097210773,0.8089613798275214
66,11 days 02:00:00.000000000,1514390.5387598798,1230.6057608998424,969.7224310637135,0.06954860233087688,0.06000162097210773,0.8079700821711012
67,11 days 03:00:00.000000000,1518458.4522231403,1232.2574618248982,971.1195473461399,0.06963772279518413,0.06000162332156955,0.8068991376077997
68,11 days 04:00:00.000000000,1517868.983961845,1232.018256342756,970.6368785669551,0.06962429243087091,0.06000162332156955,0.8071491063617047
69,11 days 05:00:00.000000000,1514904.9254696814,1230.814740515274,969.388259246841,0.06957411148291485,0.06000162097210773,0.8075547574097102
70,11 days 06:00:00.000000000,1513335.579299353,1230.1770520129828,969.0563944279887,0.06967387183649573,0.06000162097210773,0.8068574761488151
71,11 days 07:00:00.000000000,1506390.5186879963,1227.3510169010315,966.5084334212521,0.06956507759066616,0.06000162097210773,0.8081416293551552
72,11 days 08:00:00.000000000,1498798.4823671193,1224.254255605068,963.8086933276874,0.06944848431826511,0.06000162097210773,0.8096696246302544
73,11 days 09:00:00.000000000,1495660.9928016113,1222.9721962504345,962.9889662181779,0.06952655078584113,0.06000162097210773,0.8101903928675583
74,11 days 10:00:00.000000000,1491375.67441259,1221.2189297634516,961.5095297107669,0.06952815257708334,0.06000162097210773,0.810977575171524
75,11 days 11:00:00.000000000,1489353.3866826163,1220.3906696966412,960.4070034195026,0.06953159292081904,0.06000162097210773,0.8112538564258416
76,11 days 12:00:00.000000000,1499313.3879772848,1224.4645311225984,963.036292034605,0.06976170414644332,0.06000162097210773,0.8098987626546681
77,11 days 13:00:00.000000000,1500339.502044308,1224.883464679113,963.5714634128527,0.06983745798600817,0.06000162097210773,0.810337433311033
78,11 days 14:00:00.000000000,1500817.4692407318,1225.0785563549514,963.8635434334723,0.06987370101297295,0.06000162097210773,0.8113569137191184
79,11 days 15:00:00.000000000,1506453.9204242046,1227.3768453185862,966.3533851622904,0.07002779380491735,0.06000162332156955,0.8102737157855271
80,11 days 16:00:00.000000000,1511629.260314647,1229.4833306371613,968.1150011263957,0.07012799730422845,0.06000162332156955,0.809657564734232
81,11 days 17:00:00.000000000,1518133.933447656,1232.1257782579082,969.895224427048,0.07021089707162852,0.06000162332156955,0.8092124449356113
82,11 days 18:00:00.000000000,1529473.8083930805,1236.7189690439297,973.1318448232392,0.0703484128434917,0.06000162332156955,0.8081698121068206
83,11 days 19:00:00.000000000,1537444.6559841828,1239.9373597017645,975.6465737289187,0.07048098850996523,0.06000651468312884,0.8070437273772155
84,11 days 20:00:00.000000000,1545293.0383711802,1243.0981611969266,978.4278474180495,0.07063294858143414,0.06000651468312884,0.8057742782152232
85,11 days 21:00:00.000000000,1551134.0758200157,1245.4453323289688,980.6940960084195,0.07072506592963064,0.06000651468312884,0.8046702495521396
86,11 days 22:00:00.000000000,1554130.926566426,1246.6478759322642,981.6848982494288,0.07074863585281964,0.06000651468312884,0.8038249604764304
87,11 days 23:00:00.000000000,1554574.0994957024,1246.8256090952345,981.4084453727394,0.07068842971868734,0.06000651468312884,0.8030882104649203
88,12 days 00:00:00.000000000,1566477.5748770828,1251.590018687063,984.516382822637,0.07081716953571889,0.06000651468312884,0.8021080698246053
89,12 days 01:00:00.000000000,1570597.6715565205,1253.2348828358236,986.0339407867403,0.070906196631079,0.06045227014823682,0.8015542174875204
90,12 days 02:00:00.000000000,1571343.1544584078,1253.5322710079736,986.2485979104723,0.07090810137011466,0.06000651468312884,0.801691455234762
91,12 days 03:00:00.000000000,1572986.8632728006,1254.1877304745094,986.9191181176247,0.07094367453205482,0.06000651468312884,0.8016497937757778
92,12 days 04:00:00.000000000,1569577.3785273242,1252.8277529362622,986.1468523572173,0.07091281190691243,0.06000651468312884,0.8025049500391391
93,12 days 05:00:00.000000000,1567564.5880082021,1252.0241962550892,985.9892709086192,0.0709502639673047,0.06000651468312884,0.8029961167134806
94,12 days 06:00:00.000000000,1568345.9892256055,1252.3362125346393,986.6074970899258,0.07109072158420646,0.06000651468312884,0.8025871766029244
95,12 days 07:00:00.000000000,1564357.5764841503,1250.7428098870487,985.4609958871279,0.0710991222062082,0.06000651468312884,0.8029786506571732
96,12 days 08:00:00.000000000,1564398.8478345806,1250.7593085140645,985.6366760991529,0.0712040974436012,0.0605580291057594,0.8026669080158084
97,12 days 09:00:00.000000000,1568588.1536842622,1252.4328938846434,987.1867979572082,0.07144924949672275,0.0605580291057594,0.8018164396117157
98,12 days 10:00:00.000000000,1565454.6217019302,1251.1812905018721,986.3696199248429,0.07151509776201198,0.06057761328267076,0.8025038536849556
99,12 days 11:00:00.000000000,1564847.8992594783,1250.9388071602377,986.1561407165475,0.07160295258030275,0.0605580291057594,0.8027486147564884
100,12 days 12:00:00.000000000,1581272.0405947522,1257.4863977772293,990.999969721491,0.07198472305154618,0.06057761328267076,0.8008165645960924
101,12 days 13:00:00.000000000,1583489.6213317846,1258.3678402326502,991.4057837185281,0.07205552249707595,0.06059768514071023,0.8005249343832017
102,12 days 14:00:00.000000000,1584411.4705502195,1258.7340745964652,991.7810786413631,0.07210520821212825,0.06059768514071023,0.8002333041703119
103,12 days 15:00:00.000000000,1586807.2452885248,1259.6853755158565,993.0519269460776,0.07217657844163371,0.06059768514071023,0.7987751531058622
104,12 days 16:00:00.000000000,1588424.3748857593,1260.3270904355581,993.8288069931264,0.07220459179636414,0.06059768514071023,0.7979002624671906
105,12 days 17:00:00.000000000,1590823.5653484364,1261.2785439182085,994.7960509507166,0.07222543571480963,0.06061875987506937,0.7973170020414116
106,12 days 18:00:00.000000000,1596166.7229917725,1263.394919647761,996.3148654251784,0.07225018074246158,0.06057761328267076,0.7963960645270212
107,12 days 19:00:00.000000000,1599910.7408835115,1264.8757808115038,997.5913377034605,0.07228005415333912,0.06059768514071023,0.7955672207640708
108,12 days 20:00:00.000000000,1603171.7909656265,1266.1642037925517,998.8537168016427,0.07230740431551669,0.06059768514071023,0.7944006999125109
109,12 days 21:00:00.000000000,1604561.8876918352,1266.7130249949414,999.165828576859,0.07224220296544974,0.06057761328267076,0.7937659753315154
110,12 days 22:00:00.000000000,1604667.8430423108,1266.754847254318,999.0710657294072,0.07216397570258909,0.06057761328267076,0.7937549472982544
111,12 days 23:00:00.000000000,1605319.2543711453,1267.0119393167317,999.4703577593808,0.07211913067971205,0.060561962903841284,0.793754947298254
112,13 days 00:00:00.000000000,1612593.0570878144,1269.87915058395,1002.3456984144566,0.07220870418666275,0.06057761328267076,0.7927583613451825
