,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2002-11-25 01:00:00,11077.263792920992,9415.410024214272,12566.736044080286,11015.0,2002-11-24 19:00:00
1,2002-11-25 07:00:00,13176.509484924238,11521.98016837166,14833.960069112993,14492.0,2002-11-24 19:00:00
2,2002-11-25 13:00:00,16844.411118743308,15210.884653537396,18361.967977769422,16098.0,2002-11-24 19:00:00
3,2002-11-25 19:00:00,17545.41229674876,15986.447198117618,19091.497516394462,17955.0,2002-11-24 19:00:00
4,2002-11-26 01:00:00,12545.566489761906,10956.253181391385,14219.782560190217,11292.0,2002-11-24 19:00:00
5,2002-11-26 07:00:00,14105.78175728267,12577.252697876333,15655.65080981417,14421.0,2002-11-24 19:00:00
6,2002-11-26 13:00:00,17269.69302502774,15598.47296820525,18915.438560535982,15754.0,2002-11-24 19:00:00
7,2002-11-26 19:00:00,17625.312489851047,15987.56177024537,19121.749148763243,17919.0,2002-11-24 19:00:00
8,2002-11-27 01:00:00,12485.617366589604,10947.115013221852,14107.541779646841,11670.0,2002-11-24 19:00:00
9,2002-11-27 07:00:00,14078.49687560773,12394.013074073966,15645.047195256013,14457.0,2002-11-24 19:00:00
10,2002-11-27 13:00:00,17361.771293336016,15839.640151543965,19002.174583484564,17176.0,2002-11-24 19:00:00
11,2002-11-27 19:00:00,17828.365307703185,16188.522453478537,19402.54139911723,18489.0,2002-11-24 19:00:00
12,2002-11-28 01:00:00,12727.010686776513,11219.06964568293,14327.353543499232,12321.0,2002-11-24 19:00:00
13,2002-11-28 07:00:00,14272.169240169387,12747.958396076006,15807.418910213311,12794.0,2002-11-24 19:00:00
14,2002-11-28 13:00:00,17452.333442244933,15862.823105638898,18972.175068716668,15042.0,2002-11-24 19:00:00
15,2002-11-28 19:00:00,17807.81104368384,16169.523847629076,19335.60329111786,14697.0,2002-11-24 19:00:00
16,2002-11-29 01:00:00,12618.701080936615,10990.336279061754,14211.880048048368,11664.0,2002-11-24 19:00:00
17,2002-11-29 07:00:00,14094.002621771031,12515.263037411542,15623.170230567264,12958.0,2002-11-24 19:00:00
18,2002-11-29 13:00:00,17182.037351987896,15602.64422075788,18794.544778356205,15527.0,2002-11-24 19:00:00
19,2002-11-29 19:00:00,17372.868214668113,15835.495768440886,19045.899969994527,16892.0,2002-11-24 19:00:00
