,horizon,mse,rmse,mae,mape,mdape,coverage
0,8 days 19:00:00.000000000,1490042.275942026,1220.6728783511273,956.8602705838623,0.07121041443982973,0.05737383579862804,0.8451707521474958
1,8 days 20:00:00.000000000,1493045.2636270034,1221.902313455132,958.1166522911822,0.07132246576164741,0.05743292447122035,0.8448355332076258
2,8 days 21:00:00.000000000,1496789.1532871942,1223.433346483246,959.456711550996,0.07143574967077253,0.057522439530959965,0.8445160276555623
3,8 days 22:00:00.000000000,1499758.2394765776,1224.6461690939868,960.5907369306514,0.0715134366711263,0.05765771158369747,0.844165095327885
4,8 days 23:00:00.000000000,1501272.5390522832,1225.2642731477497,961.1374408830035,0.07151994389851031,0.0576362979763992,0.8438298763880157
5,9 days 00:00:00.000000000,1504838.4528971605,1226.71857118785,962.5382294778051,0.07151721901822303,0.0576758325169994,0.8429184998952445
6,9 days 01:00:00.000000000,1505947.9223250316,1227.1706981202867,963.0108921316069,0.07148439576758352,0.0576758325169994,0.842534394859976
7,9 days 02:00:00.000000000,1505072.6705270715,1226.8140325766867,963.1874214720116,0.0714125712246063,0.05761469546877049,0.8425099518122778
8,9 days 03:00:00.000000000,1503884.6216214043,1226.329736091156,963.2882417249472,0.07132548218593401,0.05761469546877049,0.842782317200923
9,9 days 04:00:00.000000000,1503550.537688512,1226.1935155955246,963.6143033275055,0.07128299930402977,0.05759465810416271,0.8430232558139538
10,9 days 05:00:00.000000000,1503353.3971916775,1226.1131257725274,964.2042120937818,0.07129281156883348,0.0576758325169994,0.84265661009847
11,9 days 06:00:00.000000000,1502610.4823354443,1225.8101330693282,964.8968316816113,0.07133645612384402,0.05776594647072851,0.8433060967944696
12,9 days 07:00:00.000000000,1499091.4645605718,1224.3739071707514,963.6453922561,0.07128896232521503,0.05778148230446245,0.8435121167679296
13,9 days 08:00:00.000000000,1495145.2572039035,1222.7613247089162,962.0305126224041,0.07124682771550032,0.05776253866630905,0.8437670228367904
14,9 days 09:00:00.000000000,1493073.4916657403,1221.9138642579273,961.2208957047063,0.07128606552810052,0.05772705273420395,0.8434737062644044
15,9 days 10:00:00.000000000,1491610.7457558396,1221.3151705255443,960.9182501312744,0.07134220312937652,0.05776594647072851,0.8435339409176613
16,9 days 11:00:00.000000000,1490123.4176638837,1220.7061143714664,960.9557839521867,0.07141126311898066,0.05795936720442381,0.843976534674209
17,9 days 12:00:00.000000000,1493408.4869189754,1222.050934666381,961.9925104967075,0.071501283078573,0.05814253291501604,0.8437460716530478
18,9 days 13:00:00.000000000,1491571.4493115065,1221.29908266219,961.2902273621186,0.07147031678389013,0.05795936720442381,0.8439835184021232
19,9 days 14:00:00.000000000,1489062.2986094127,1220.2714036678121,960.2997282328926,0.07141482208136174,0.05795936720442381,0.8441860465116268
20,9 days 15:00:00.000000000,1486151.6223103078,1219.07818547881,959.0366899932312,0.07133031540972218,0.05776253866630905,0.8441821181646765
21,9 days 16:00:00.000000000,1485315.9891704754,1218.7354057261466,958.2028670348246,0.07127226561557214,0.05765771158369747,0.8443785355122571
22,9 days 17:00:00.000000000,1486593.961514666,1219.2595956213204,957.7660161638194,0.0712386022898,0.05763610907606876,0.8439464173475799
23,9 days 18:00:00.000000000,1490764.0897558532,1220.9685048173246,958.34140968719,0.07126334954900071,0.05763610907606876,0.8437460716530479
24,9 days 19:00:00.000000000,1500081.3508110843,1224.7780822708594,960.1551326412887,0.07138693881163725,0.05763610907606876,0.8433689503456943
25,9 days 20:00:00.000000000,1511064.7859514523,1229.2537516523805,962.4502929280114,0.07154940047580141,0.0576758325169994,0.8425518541797612
26,9 days 21:00:00.000000000,1520753.2692005446,1233.188253755502,964.5252728352418,0.07168887838305152,0.05776253866630905,0.8418251099937138
27,9 days 22:00:00.000000000,1529239.5443274807,1236.624253493146,966.6181233531158,0.07181164691627971,0.05776594647072851,0.840959564215378
28,9 days 23:00:00.000000000,1536424.775955731,1239.5260287528176,968.7071438048378,0.07192248708510002,0.05776594647072851,0.8401555625392834
29,10 days 00:00:00.000000000,1545850.2629165638,1243.3222683265042,972.0004759133857,0.07207008064948939,0.05785400356626969,0.8390739576786083
30,10 days 01:00:00.000000000,1550001.2161958595,1244.9904482347883,973.2925939317186,0.07209551197471924,0.05795936720442381,0.8384035197988685
31,10 days 02:00:00.000000000,1553330.513129488,1246.326808316939,974.1444513285998,0.07207095302162968,0.057873486384044937,0.838291780152245
32,10 days 03:00:00.000000000,1556843.6212372745,1247.7353971244363,974.937314416219,0.07203213365096085,0.057873486384044937,0.8379006913890632
33,10 days 04:00:00.000000000,1558656.7068168982,1248.4617362245822,975.7156730214041,0.07201812112212434,0.058047511278519814,0.8378378378378376
34,10 days 05:00:00.000000000,1558981.2994330113,1248.5917264794812,976.430922509609,0.07202286108531541,0.05813254930365868,0.8383825686151272
35,10 days 06:00:00.000000000,1561225.0011210823,1249.489896366146,977.8567746238562,0.07209586825309769,0.05822294037653603,0.8384109143343069
36,10 days 07:00:00.000000000,1561436.566698856,1249.5745542779175,978.2777076034971,0.07211979813811596,0.05825153313995799,0.8386968363712551
37,10 days 08:00:00.000000000,1562903.0379941943,1250.1612048028824,979.3840495257659,0.07223501433218353,0.058328247513773,0.838654934003771
38,10 days 09:00:00.000000000,1566826.4323198993,1251.7293766305477,980.826158091705,0.07242929801208352,0.05837078881810179,0.838466373350094
39,10 days 10:00:00.000000000,1567251.8465079966,1251.8992956735763,980.8686398401311,0.07251182346331285,0.05835126009457761,0.8386549340037709
40,10 days 11:00:00.000000000,1567510.4934297812,1252.0025932200704,980.881998059385,0.07257141673550689,0.058427296345828175,0.838564582023885
41,10 days 12:00:00.000000000,1573283.4623068466,1254.3059683772722,982.6812290202215,0.0727042766466569,0.05851478642323871,0.8383197150639007
42,10 days 13:00:00.000000000,1571931.0959421594,1253.7667629755383,982.5923994948462,0.07270243124821295,0.0587240584787993,0.8385292269013201
43,10 days 14:00:00.000000000,1569215.940379616,1252.6834956921944,981.9790352155467,0.07264636280332001,0.058563285965190864,0.8391158600460917
44,10 days 15:00:00.000000000,1566141.1167383029,1251.455599187723,981.1015149308363,0.07256476363416801,0.058563285965190864,0.8390599902227804
45,10 days 16:00:00.000000000,1564141.4744459682,1250.656417424853,980.386660311102,0.07248507643949635,0.05851478642323871,0.8388015922899644
46,10 days 17:00:00.000000000,1564381.3264102822,1250.7523041794814,980.2266425938684,0.0724179574179425,0.05851478642323871,0.8384873245338361
47,10 days 18:00:00.000000000,1564978.5666002757,1250.9910337809283,979.8357819382388,0.07233564673462721,0.05837078881810179,0.8384270898805778
